slimepits,slim
aner,anger
hobah,hob
melchizedek,melcher
shoelatchet,shoelace
eliezer,eli
heifer,heiser
turtledove,turtle
carcases,carcass
surety,surely
afflict,afflicted
kenites,knite
kenizzites,kent
hittites,hitters
perizzites,permits
jebusites,jesuits
handmaid,handmaiden
hagar,hangar
pleaseth,please
shur,shu
camest,calmest
whither,white
ishmael,isham
bered,breed
fourscore,foursome
circumcised,circumscribed
circumcise,circumscribed
foreskin,foreign
uncircumcised,uncircumcision
fetched,fetch
fetcht,fetch
hasted,haste
sakes,sake
communing,communion
compassed,compass
brimstone,briton
overthrew,overthrow
gat,gate
moab,mob
moabites,mates
benammi,benjamin
ammon,ammo
sojourned,sojourner
abimelech,abel
innocency,innocence
sawest,saws
womenservants,women
reproved,reported
wombs,womb
bondwoman,bondsman
bowshot,bows
aileth,ailment
archer,archery
phichol,philco
falsely,false
wot,wont
digged,digges
sware,swarmed
lovest,loves
moriah,morikawa
clave,cave
fearest,feare
huz,huzzahs
buz,buzz
kemuel,keel
chesed,ches
hazo,haze
pildash,pils
bethuel,bethel
rebekah,rebecca
concubine,concise
reumah,reach
tebah,tea
gaham,graham
kirjath,kira
arba,arab
buryingplace,buying
sepulchres,sepulchred
sepulchre,sepulchred
communed,commune
intreat,interact
ephron,eph
machpelah,machiavelli
hittite,hitter
shekels,sheckley's
mesopotamia,mesta
earring,earrings
shekel,she
